epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,741.127,0.51367,0.34116,1.02279,1,0.99835,0.995,0.90475,0.49224,0.27918,0.96855,0.00183368,0.00183368,0.00183368
44,759.515,0.52841,0.34024,1.01039,0.99438,0.99996,0.99494,0.90661,0.47914,0.28171,0.95696,0.00182972,0.00182972,0.00182972
45,777.779,0.53261,0.33984,1.02631,0.98856,1,0.99489,0.88493,0.49508,0.29363,0.98642,0.00182576,0.00182576,0.00182576
46,796.157,0.50845,0.32847,1.01749,0.99964,0.99435,0.995,0.90647,0.49955,0.29149,0.95494,0.0018218,0.0018218,0.0018218
47,814.226,0.48416,0.31227,0.98821,0.99965,1,0.995,0.91521,0.46893,0.25472,0.95778,0.00181784,0.00181784,0.00181784
48,832.642,0.51459,0.32135,1.00523,0.90414,0.9322,0.96671,0.81225,0.67934,0.5185,1.14354,0.00181388,0.00181388,0.00181388
49,851.173,0.52136,0.33478,1.00743,0.22421,0.29379,0.21934,0.14551,2.28183,3.1663,3.09726,0.00180992,0.00180992,0.00180992
50,869.912,0.51672,0.34601,1.00333,0.97483,0.98305,0.99323,0.89957,0.48221,0.33035,0.97088,0.00180596,0.00180596,0.00180596
51,888.256,0.50516,0.34199,1.00469,0.99818,1,0.995,0.9087,0.47606,0.27112,0.93924,0.001802,0.001802,0.001802
52,906.607,0.50324,0.32852,0.9876,0.99918,1,0.995,0.90933,0.4353,0.26322,0.91766,0.00179804,0.00179804,0.00179804
53,924.995,0.51608,0.32797,1.00177,1,0.99983,0.995,0.91103,0.46964,0.27528,0.93367,0.00179408,0.00179408,0.00179408
54,943.24,0.48243,0.31186,0.98628,0.98647,0.98305,0.99338,0.89814,0.50077,0.3381,0.96944,0.00179012,0.00179012,0.00179012
55,961.498,0.50791,0.33185,1.00389,0.98515,0.98305,0.99318,0.89246,0.58647,0.38578,1.05045,0.00178616,0.00178616,0.00178616
56,979.81,0.49493,0.31773,0.99211,0.99884,0.99435,0.995,0.91456,0.444,0.25906,0.95125,0.0017822,0.0017822,0.0017822
57,998.147,0.49324,0.31943,0.99207,0.99967,1,0.995,0.91264,0.46687,0.25177,0.94538,0.00177824,0.00177824,0.00177824
58,1016.46,0.49471,0.31387,0.99786,0.99961,1,0.995,0.90637,0.46227,0.26863,0.95006,0.00177428,0.00177428,0.00177428
59,1035.03,0.49397,0.31457,0.99237,0.99949,0.9887,0.99478,0.91228,0.45305,0.27877,0.93041,0.00177032,0.00177032,0.00177032
60,1053.67,0.5027,0.30991,0.99981,0.99438,0.99928,0.995,0.91624,0.44435,0.26053,0.93864,0.00176636,0.00176636,0.00176636
61,1072.31,0.48769,0.3088,0.98718,0.99973,1,0.995,0.92249,0.46095,0.25237,0.94343,0.0017624,0.0017624,0.0017624
62,1090.88,0.499,0.31491,0.99581,0.99935,1,0.995,0.91021,0.47638,0.26693,0.94715,0.00175844,0.00175844,0.00175844
63,1109.34,0.49435,0.3181,0.99577,0.98816,1,0.995,0.92996,0.42424,0.2546,0.9093,0.00175448,0.00175448,0.00175448
64,1127.81,0.49763,0.3198,1.00385,0.98222,0.99435,0.99346,0.8831,0.52607,0.34037,0.98965,0.00175052,0.00175052,0.00175052
65,1146.35,0.49015,0.31846,0.99222,0.13092,0.16949,0.05751,0.01329,4.14479,3.78927,5.96056,0.00174656,0.00174656,0.00174656
66,1164.67,0.48255,0.3169,0.98356,1,0.99951,0.995,0.90809,0.48128,0.25519,0.94037,0.0017426,0.0017426,0.0017426
67,1183.17,0.49116,0.31096,0.98788,0.99946,1,0.995,0.92447,0.45027,0.2502,0.93143,0.00173864,0.00173864,0.00173864
68,1201.71,0.48865,0.30911,0.99643,1,0.98694,0.99472,0.90889,0.51698,0.30149,0.9802,0.00173468,0.00173468,0.00173468
69,1220.34,0.47699,0.29746,0.9878,0.9982,0.99435,0.995,0.91636,0.43388,0.25809,0.92642,0.00173072,0.00173072,0.00173072
70,1238.8,0.47374,0.29369,0.98237,0.99998,1,0.995,0.92505,0.44213,0.24116,0.93147,0.00172676,0.00172676,0.00172676
71,1257.24,0.4664,0.29106,0.97019,0.99939,1,0.995,0.92259,0.45747,0.26145,0.92953,0.0017228,0.0017228,0.0017228
72,1275.66,0.4661,0.2893,0.97733,0.99939,1,0.995,0.87498,0.52885,0.29139,1.00211,0.00171884,0.00171884,0.00171884
73,1294.12,0.45906,0.2905,0.97106,0.99968,1,0.995,0.92845,0.41622,0.23991,0.90784,0.00171488,0.00171488,0.00171488
74,1312.53,0.45578,0.29114,0.97276,0.99956,1,0.995,0.91334,0.46228,0.25575,0.95072,0.00171092,0.00171092,0.00171092
75,1330.95,0.45945,0.29165,0.96951,0.99255,0.9887,0.99489,0.91575,0.48225,0.2705,0.95505,0.00170696,0.00170696,0.00170696
76,1349.4,0.47545,0.2964,0.97656,0.9938,0.99435,0.995,0.89561,0.46689,0.2793,0.96694,0.001703,0.001703,0.001703
77,1368.02,0.46687,0.28883,0.96815,0.99968,1,0.995,0.93028,0.43713,0.2527,0.90985,0.00169904,0.00169904,0.00169904
78,1387.1,0.4793,0.2953,0.97311,0.99389,1,0.99494,0.93866,0.41331,0.23928,0.89897,0.00169508,0.00169508,0.00169508
79,1406.35,0.4804,0.3131,0.98137,0.99986,1,0.995,0.92347,0.4559,0.25309,0.94278,0.00169112,0.00169112,0.00169112
80,1425.31,0.46053,0.29966,0.97787,0.99996,1,0.995,0.90554,0.50139,0.26794,0.97357,0.00168716,0.00168716,0.00168716
81,1444.21,0.4506,0.28836,0.96078,0.99956,1,0.995,0.87532,0.61355,0.29998,1.07813,0.0016832,0.0016832,0.0016832
82,1463.27,0.46762,0.2956,0.98786,0.50217,0.58757,0.50898,0.35097,1.41672,1.92403,2.11819,0.00167924,0.00167924,0.00167924
83,1482.12,0.4719,0.29281,0.97915,0.99925,1,0.995,0.93791,0.43243,0.24287,0.91397,0.00167528,0.00167528,0.00167528
84,1500.93,0.44881,0.28593,0.97215,0.99418,1,0.995,0.92576,0.43466,0.24136,0.91802,0.00167132,0.00167132,0.00167132
85,1519.54,0.44208,0.28035,0.96877,0.99966,1,0.995,0.9346,0.4113,0.22821,0.9136,0.00166736,0.00166736,0.00166736
86,1538.19,0.44667,0.27413,0.97068,0.99966,1,0.995,0.93453,0.4103,0.23277,0.90212,0.0016634,0.0016634,0.0016634
87,1556.86,0.43374,0.27076,0.95769,0.9981,0.9887,0.99489,0.92394,0.43796,0.26023,0.9361,0.00165944,0.00165944,0.00165944
88,1575.69,0.43749,0.27715,0.96053,0.99387,0.98305,0.99472,0.93342,0.44398,0.26591,0.93358,0.00165548,0.00165548,0.00165548
89,1594.76,0.44225,0.27985,0.95937,1,0.99993,0.995,0.90622,0.48961,0.26046,0.96002,0.00165152,0.00165152,0.00165152
90,1613.47,0.43846,0.27564,0.96262,0.99863,1,0.995,0.92619,0.42688,0.2287,0.91163,0.00164756,0.00164756,0.00164756
91,1632.01,0.44927,0.27998,0.96398,0.776,0.57627,0.73357,0.50146,1.38979,1.21769,2.23418,0.0016436,0.0016436,0.0016436
92,1650.66,0.44974,0.27616,0.96909,0.99965,0.99435,0.995,0.93868,0.41734,0.23553,0.90369,0.00163964,0.00163964,0.00163964
93,1669.31,0.4605,0.28523,0.98289,0.98615,1,0.99494,0.91753,0.46126,0.25996,0.93473,0.00163568,0.00163568,0.00163568
94,1687.91,0.43158,0.27716,0.96517,1,0.99941,0.995,0.92307,0.41975,0.23566,0.90439,0.00163172,0.00163172,0.00163172
95,1706.53,0.4414,0.28037,0.9614,0.99946,0.99435,0.995,0.93531,0.41476,0.23043,0.90311,0.00162776,0.00162776,0.00162776
96,1724.99,0.44629,0.28238,0.97047,0.99952,0.99435,0.995,0.93164,0.42771,0.23527,0.90978,0.0016238,0.0016238,0.0016238
97,1743.58,0.42824,0.27424,0.95808,0.99955,0.99435,0.995,0.93979,0.40302,0.22299,0.89049,0.00161984,0.00161984,0.00161984
98,1762.24,0.43302,0.26928,0.95594,0.96724,0.87571,0.96386,0.84973,0.57977,0.43401,1.04537,0.00161588,0.00161588,0.00161588
99,1780.86,0.43449,0.27124,0.95667,0.99941,1,0.995,0.93435,0.44026,0.22836,0.9144,0.00161192,0.00161192,0.00161192
100,1799.33,0.42704,0.2708,0.94769,0.99948,0.99435,0.995,0.93446,0.42483,0.23112,0.90472,0.00160796,0.00160796,0.00160796
101,1818.19,0.43679,0.26967,0.94551,1,0.99967,0.995,0.92328,0.43829,0.23392,0.93296,0.001604,0.001604,0.001604
102,1837.13,0.41726,0.26401,0.95381,1,0.99971,0.995,0.93478,0.43234,0.23175,0.91844,0.00160004,0.00160004,0.00160004
103,1855.86,0.4355,0.2715,0.94994,0.96565,0.99435,0.9942,0.89057,0.51571,0.32973,0.97544,0.00159608,0.00159608,0.00159608
104,1874.66,0.4276,0.26982,0.95263,0.98819,1,0.99426,0.92201,0.46015,0.23737,0.96442,0.00159212,0.00159212,0.00159212
105,1893.34,0.42758,0.27161,0.9602,0.99951,1,0.995,0.93166,0.41702,0.21672,0.91085,0.00158816,0.00158816,0.00158816
106,1911.77,0.42924,0.2753,0.96318,1,0.99963,0.995,0.92523,0.42907,0.22295,0.92163,0.0015842,0.0015842,0.0015842
107,1930.23,0.42127,0.26865,0.95028,1,0.99865,0.995,0.94092,0.40964,0.22943,0.89513,0.00158024,0.00158024,0.00158024
108,1948.78,0.43403,0.26609,0.95796,0.98849,0.99435,0.995,0.92876,0.42994,0.24403,0.91838,0.00157628,0.00157628,0.00157628
109,1967.17,0.42128,0.26959,0.95186,0.99996,1,0.995,0.93337,0.41562,0.22957,0.89735,0.00157232,0.00157232,0.00157232
110,1985.66,0.42316,0.26845,0.95995,1,0.99964,0.995,0.93031,0.41053,0.23757,0.90542,0.00156836,0.00156836,0.00156836
111,2004.17,0.41725,0.25995,0.94118,0.9997,1,0.995,0.93861,0.40581,0.21408,0.90978,0.0015644,0.0015644,0.0015644
112,2022.74,0.40987,0.26486,0.94825,0.99964,1,0.995,0.93145,0.41005,0.22745,0.90533,0.00156044,0.00156044,0.00156044
113,2041.19,0.40931,0.25553,0.94253,0.99694,0.99435,0.995,0.89398,0.49027,0.26049,0.95855,0.00155648,0.00155648,0.00155648
114,2059.79,0.4297,0.26869,0.95266,0.99372,0.99435,0.99494,0.91442,0.47652,0.27716,0.94266,0.00155252,0.00155252,0.00155252
115,2078.25,0.42882,0.27136,0.96151,0.98285,1,0.99489,0.92484,0.42275,0.23508,0.91965,0.00154856,0.00154856,0.00154856
116,2096.76,0.40988,0.2539,0.93681,0.99968,0.99435,0.995,0.9425,0.40041,0.21448,0.8876,0.0015446,0.0015446,0.0015446
117,2115.3,0.41446,0.2526,0.94839,0.92029,0.84799,0.93393,0.74367,0.76835,0.64708,1.2288,0.00154064,0.00154064,0.00154064
118,2133.95,0.41038,0.26065,0.94086,0.99971,1,0.995,0.92222,0.42734,0.21757,0.918,0.00153668,0.00153668,0.00153668
119,2152.45,0.39372,0.25862,0.9345,0.99965,1,0.995,0.93435,0.40948,0.20975,0.90636,0.00153272,0.00153272,0.00153272
120,2170.99,0.41649,0.25995,0.94842,0.99953,1,0.995,0.91379,0.42637,0.22399,0.91778,0.00152876,0.00152876,0.00152876
121,2189.45,0.42786,0.27047,0.9598,0.99977,1,0.995,0.94031,0.40656,0.21349,0.89336,0.0015248,0.0015248,0.0015248
122,2207.9,0.39743,0.24952,0.93587,1,0.99994,0.995,0.94542,0.38856,0.2063,0.88416,0.00152084,0.00152084,0.00152084
123,2226.49,0.41733,0.25947,0.93988,0.9999,1,0.995,0.93346,0.41111,0.22015,0.90274,0.00151688,0.00151688,0.00151688
124,2244.97,0.41602,0.25765,0.95294,0.99975,1,0.995,0.9272,0.42497,0.21745,0.90789,0.00151292,0.00151292,0.00151292
125,2263.47,0.40963,0.25581,0.94636,1,0.99967,0.995,0.92704,0.41895,0.22518,0.90909,0.00150896,0.00150896,0.00150896
126,2281.97,0.3982,0.2529,0.93344,0.99967,1,0.995,0.9407,0.40238,0.20556,0.88577,0.001505,0.001505,0.001505
127,2300.41,0.39206,0.25404,0.94058,1,0.99968,0.995,0.93274,0.41983,0.2178,0.90166,0.00150104,0.00150104,0.00150104
