epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
190,3482.33,0.35016,0.21501,0.91078,0.99417,1,0.995,0.9384,0.39744,0.20709,0.87909,0.00125156,0.00125156,0.00125156
191,3501.19,0.34818,0.22033,0.91797,1,0.99965,0.995,0.93683,0.39631,0.19641,0.88177,0.0012476,0.0012476,0.0012476
192,3519.8,0.3419,0.2228,0.90738,0.9997,0.99435,0.995,0.94027,0.419,0.20971,0.89438,0.00124364,0.00124364,0.00124364
193,3538.68,0.36347,0.2301,0.91373,0.99967,0.99435,0.995,0.94781,0.38842,0.20763,0.88301,0.00123968,0.00123968,0.00123968
194,3557.74,0.3607,0.2295,0.91888,0.99967,0.99435,0.995,0.94186,0.40815,0.21442,0.89421,0.00123572,0.00123572,0.00123572
195,3576.35,0.35195,0.23026,0.92112,0.99998,0.99435,0.995,0.94805,0.41299,0.22572,0.88655,0.00123176,0.00123176,0.00123176
196,3594.92,0.33498,0.21747,0.90543,0.99269,1,0.99489,0.91265,0.45368,0.24024,0.94157,0.0012278,0.0012278,0.0012278
197,3613.42,0.34687,0.22045,0.91046,0.98515,1,0.99489,0.92826,0.42128,0.2308,0.92619,0.00122384,0.00122384,0.00122384
198,3632.03,0.34584,0.21656,0.90817,0.994,1,0.995,0.93796,0.40229,0.19863,0.88994,0.00121988,0.00121988,0.00121988
199,3650.61,0.32669,0.2128,0.8965,0.99967,0.99435,0.995,0.93504,0.41409,0.20982,0.90243,0.00121592,0.00121592,0.00121592
200,3669.13,0.34246,0.22185,0.9042,1,0.99963,0.995,0.93954,0.39287,0.20999,0.88302,0.00121196,0.00121196,0.00121196
201,3687.64,0.35808,0.23668,0.91496,1,0.99967,0.995,0.94215,0.40296,0.20787,0.88477,0.001208,0.001208,0.001208
202,3706.16,0.34181,0.22183,0.90546,0.99965,0.99435,0.995,0.93258,0.40393,0.20942,0.89264,0.00120404,0.00120404,0.00120404
203,3724.62,0.33825,0.22445,0.89884,0.99972,1,0.995,0.94416,0.38621,0.19438,0.87982,0.00120008,0.00120008,0.00120008
204,3743.08,0.34843,0.22514,0.91306,0.9996,0.9887,0.99494,0.91133,0.48154,0.25627,0.96109,0.00119612,0.00119612,0.00119612
205,3761.61,0.34619,0.22158,0.91052,0.99396,1,0.995,0.94774,0.37616,0.18736,0.87277,0.00119216,0.00119216,0.00119216
